Task,count
PowerEvent handled successfully by the service.,12289
The operation completed successfully. ,2090
Offline downlevel migration succeeded.,1662
Service started successfully.,642
Service stopped.,547
Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.,478
Windows Installer reconfigured the product. Product Name: Microsoft VC++ redistributables repacked.. Product Version: 12.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,466
Windows Installer reconfigured the product. Product Name: Intel(R) Management Engine Components. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,466
The VSS service is shutting down due to idle timeout. ,362
Updated McAfee VirusScan status successfully to SECURITY_PRODUCT_STATE_ON.,353
Updated McAfee Firewall status successfully to SECURITY_PRODUCT_STATE_ON.,349
"Windows Installer reconfigured the product. Product Name: Dell Digital Delivery Service. Product Version: 3.6.1012.0. Product Language: 1033. Manufacturer: Dell Products, LP. Reconfiguration success or error status: 0.",233
Windows Installer reconfigured the product. Product Name: Intel(R) Trusted Connect Service Client x86. Product Version: 1.62.321.1. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel(R) Trusted Connect Service Client x64. Product Version: 1.62.321.1. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel(R) ME UninstallLegacy. Product Version: 1.0.1.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel(R) PRO/Wireless Driver. Product Version: 20.50.0000.8334. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Dell Mobile Connect Drivers. Product Version: 1.3.6844. Product Language: 1033. Manufacturer: Screenovate Technologies Ltd.. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Dell Power Manager Service. Product Version: 3.9.0. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel(R) Chipset Device Software. Product Version: 10.1.17541.8066. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel® PROSet/Wireless WiFi Software. Product Version: 20.50.0.1450. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Google Chrome. Product Version: 68.57.182. Product Language: 1033. Manufacturer: Google LLC. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Maxx Audio Installer (x64). Product Version: 2.7.9326.0. Product Language: 1033. Manufacturer: Waves Audio Ltd.. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel(R) Management Engine Driver. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: OptaneDowngradeGuard. Product Version: 18.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Intel(R) Wireless Bluetooth(R). Product Version: 21.110.0.3. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: RstDowngradeGuard. Product Version: 18.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.,233
Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215. Product Version: 14.0.24215. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,227
Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215. Product Version: 14.0.24215. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,227
Windows Installer reconfigured the product. Product Name: Dell SupportAssist Remediation. Product Version: 5.5.0.16041. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,207
Windows Installer reconfigured the product. Product Name: Strawberry Perl (64-bit). Product Version: 5.32.1001. Product Language: 1033. Manufacturer: strawberryperl.com project. Reconfiguration success or error status: 0.,201
Windows Installer reconfigured the product. Product Name: Oracle VM VirtualBox 6.1.26. Product Version: 6.1.26. Product Language: 1033. Manufacturer: Oracle Corporation. Reconfiguration success or error status: 0.,201
Windows Installer reconfigured the product. Product Name: Java(TM) SE Development Kit 16.0.1 (64-bit). Product Version: 16.0.1.0. Product Language: 1033. Manufacturer: Oracle Corporation. Reconfiguration success or error status: 0.,201
Windows Installer reconfigured the product. Product Name: SmartByte Drivers and Services. Product Version: 3.1.995. Product Language: 1033. Manufacturer: Rivet Networks. Reconfiguration success or error status: 0.,201
Windows Installer reconfigured the product. Product Name: Windows PC Health Check. Product Version: 3.2.2110.14001. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,201
Windows Installer reconfigured the product. Product Name: MSB. Product Version: 7.0.1.0. Product Language: 1033. Manufacturer: Mettl. Reconfiguration success or error status: 0.,201
Windows Installer reconfigured the product. Product Name: Dell Update for Windows Universal. Product Version: 4.4.0. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,197
Windows Installer reconfigured the product. Product Name: Dell SupportAssist OS Recovery Plugin for Dell Update. Product Version: 5.4.1.14954. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,174
The Desktop Window Manager has registered the session port.,170
The winlogon notification subscriber <WSearch> was unavailable to handle a notification event.,146
Windows Installer reconfigured the product. Product Name: Dell SupportAssist. Product Version: 3.10.4.18. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,142
Windows Installer reconfigured the product. Product Name: Python Launcher. Product Version: 3.10.7686.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.,141
Windows Installer reconfigured the product. Product Name: SecureExamBrowser. Product Version: 1.4.2. Product Language: 1033. Manufacturer: Hirepro. Reconfiguration success or error status: 0.,105
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.",99
The directory cannot be removed. ,98
"Hardware has changed from previous boot.
 AppId=0ff1ce15-a989-479d-af46-f275c6370663, SkuId=480df7d5-b237-45b2-96fb-e4624b12040a.",96
Windows Installer reconfigured the product. Product Name: Microsoft Update Health Tools. Product Version: 4.67.0.0. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,96
"The User Profile Service has started successfully.  

",96
The Windows Search Service started.,94
"The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: 480df7d5-b237-45b2-96fb-e4624b12040a, 1, 1 [(0 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)( 2 0x00000000 3 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 )]

",93
Windows Management Instrumentation Service subsystems initialized successfully,91
Windows Management Instrumentation Service started sucessfully,91
Intel(R) Dynamic Application Loader Host Interface Service started.,90
"The Software Protection service has stopped.
",89
